name,5_15_drySt-28F,20_12_CeSt-28F,1_11_drySt-28F,2_12_drySt-28F,3_13_drySt-28F,4_14_drySt-28F,7_22_drySt-28F,8_23_drySt-28F,9_24_drySt-28F,19_11_CeSt-28F,21_13_CeSt-28F,22_14_CeSt-28F,23_15_CeSt-28F,25_22_CeSt-28F,26_23_CeSt-28F,27_24_CeSt-28F
Tannerella,476,67,549,578,996,404,319,526,424,0,6,20,37,38,81,235
Lactococcus,326,737,2297,548,2378,471,882,1973,2308,422,173,580,4867,707,1404,1913
Lactobacillus,94,597,434,719,322,205,644,2340,1000,330,639,633,1819,625,1361,365
Lactobacillus::Lactococcus,1,12,25,5,17,1,13,15,14,7,0,3,25,9,10,13
Parasutterella,1,0,1,4,2,0,0,12,1,0,0,0,2,0,2,0
Helicobacter,89,0,0,13,24,32,3,0,0,0,0,0,0,0,0,0
Prevotella,121,7,289,99,335,143,111,89,84,0,1,3,10,7,5,25
Bacteroides,273,34,958,377,526,200,86,424,202,0,5,20,31,19,46,122
Barnesiella,9,1,2,2,1,2,0,3,1,0,0,0,1,0,0,1
Odoribacter,1,0,22,7,2,4,6,35,8,0,0,0,0,1,1,1
Eubacterium,52,131,144,238,129,90,20,88,192,15,77,191,514,23,190,359
Allobaculum,0,241,0,271,21,3,0,1109,237,1,42,26,3,0,1235,152
Roseburia,1,18,12,44,1,0,0,5,1,34,7,2,16,23,20,23
Clostridium,130,401,597,815,203,232,43,114,184,425,234,753,1012,327,1037,718
Porphyromonas,4,0,6,5,2,2,15,2,7,0,0,1,0,0,0,2
Butyrivibrio,32,450,136,357,89,45,2,26,179,3213,582,91,97,68,307,2021
Ruminococcus,3,22,25,34,20,60,1,9,1,35,22,16,40,35,81,43
Acholeplasma,0,0,1,2,2,2,0,0,0,0,3,0,0,0,0,0
Alistipes,13,2,84,160,28,13,11,19,27,0,0,1,1,2,10,4
Clostridium::Coprococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Eubacterium (Erysipelotrichaceae)::Eubacterium,0,2,1,2,0,0,0,2,0,4,1,1,0,0,7,0
Hydrogenoanaerobacterium,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0
Paraprevotella,10,0,3,6,4,6,3,12,8,0,0,0,0,0,0,0
Blautia,5,6,6,9,0,3,0,35,1,3,0,4,59,10,551,21
Adlercreutzia::Asaccharobacter,0,0,0,6,0,0,0,1,1,1,1,0,5,0,4,1
Coprococcus,13,13,116,119,10,12,0,22,12,2,1,1,36,0,43,37
Parabacteroides,45,0,25,4,14,16,5,14,6,0,1,4,15,5,4,6
Eubacterium (Erysipelotrichaceae),0,1,2,1,4,2,0,20,1,6,1,6,0,0,11,0
Oscillibacter,1,2,3,10,1,1,0,0,0,0,0,0,2,0,0,0
Acinetobacter,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alkalitalea,0,0,2,6,0,0,0,46,1,0,0,0,0,0,35,0
Sporobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oscillospira,0,3,7,10,4,4,3,1,1,0,0,1,0,3,1,1
Blautia::Clostridium,1,1,0,1,0,0,0,5,0,0,0,0,4,6,210,2
Planctomyces,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Akkermansia,48,200,102,85,519,113,27,111,513,88,24,99,319,2,75,79
Ruminofilibacter,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
Pseudoflavonifractor,11,5,8,32,2,2,0,2,3,1,1,0,5,6,0,10
Butyricimonas,5,0,13,12,16,7,9,26,8,0,0,0,0,0,6,3
Desulfovibrio,3,14,0,2,0,0,0,0,0,0,0,3,0,0,0,5
Anaerotruncus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes::Bacteroides,5,1,46,179,28,4,0,3,4,0,1,0,1,2,1,0
Turicibacter,1,177,178,231,256,238,10,13,10,440,477,1216,3,8,17,10
Mucispirillum,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lachnospira,0,0,1,0,0,1,0,1,0,2,2,0,6,6,3,2
Catabacter,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Desulfosporosinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Bacillus,7,0,20,1,0,0,20,24,6,2,4,0,0,0,1,2
Sporanaerobacter,0,0,1,1,0,1,0,12,0,0,0,0,0,0,5,0
Streptomyces,0,16,4,24,8,1,2,12,7,0,23,37,0,22,25,13
Butyrivibrio::Clostridium,4,0,0,0,1,0,1,2,0,4,2,0,8,20,7,0
Candidatus Arthromitus,3,0,0,0,2,0,3,29,4,0,0,0,147,7,8,4
Enterorhabdus,1,5,8,16,4,3,3,3,2,2,24,4,15,6,0,18
Kurthia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Eggerthella,5,3,3,5,1,0,1,1,0,3,6,6,22,0,3,2
Actinocorallia,0,9,0,0,0,0,0,0,0,0,4,1,0,2,1,0
Caldanaerocella,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Dorea,0,0,0,2,0,0,1,0,0,1,4,5,7,38,1,15
Streptococcus,1,3,6,0,0,0,0,2,1,1,0,0,2,3,1,0
Adlercreutzia,0,2,3,1,0,0,0,2,0,0,5,3,0,2,0,2
Paraeggerthella,1,3,0,0,1,0,0,0,1,1,4,14,34,2,2,1
Lachnobacterium,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0
TM7 (genus),0,21,0,2,0,0,0,0,0,1,3,2,2,2,8,0
Clostridium::Anaerostipes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erysipelothrix,0,2,7,0,0,0,3,4,0,1,1,0,0,6,3,0
Formosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rikenella,5,1,5,12,4,1,1,27,14,0,0,0,0,0,1,5
Dysgonomonas,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,2
Desulfitobacterium,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1
Oribacterium,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
Syntrophococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcus::Clostridium,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
Rhodospirillum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedobacter,1,0,8,5,5,1,0,1,3,0,0,0,0,0,0,2
Acetivibrio,1,0,0,0,3,1,1,0,0,0,3,8,8,0,0,0
Clostridium::Eubacterium,0,2,0,1,0,0,0,1,0,0,0,0,2,1,1,0
Limibacter,0,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0
Clostridium::Ruminococcus,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Coprobacillus,4,0,0,0,2,0,0,0,2,0,2,2,15,0,1,3
Cytophaga,0,0,2,0,1,0,1,3,0,0,0,0,0,0,0,0
Denitrobacterium,0,3,4,4,1,0,2,1,1,6,0,0,0,6,5,10
Mycoplasma,2,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0
Roseburia::Clostridium,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
Sporobacterium,0,0,0,7,0,5,0,0,0,0,1,9,0,0,3,12
Eubacterium::Ruminococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudobutyrivibrio,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Robinsoniella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brevibacterium,0,3,1,1,0,0,0,0,0,0,1,1,0,2,1,1
Blautia::Ruminococcus,1,0,0,0,0,0,0,1,0,0,0,0,17,2,1,2
Pseudomonas,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,2
Clostridium::Roseburia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desulfotomaculum,0,1,1,1,1,0,0,0,5,5,1,0,1,1,14,9
Clostridium (Erysipelotrichaceae),0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
Olsenella,0,0,0,1,0,0,0,0,1,0,2,2,1,0,0,0
Azospirillum,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0
Oxobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asaccharobacter::Adlercreutzia,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Desulfocurvus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Anaerostipes,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,1
Clostridium::Ruminococcus::Desulfotomaculum::Escherichia,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Halanaerobacter,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0
Slackia,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1
Anaplasma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Syntrophomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Clostridium::Blautia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Anaerosporobacter::Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium::Bacteroides,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,12
Blautia::Lactonifactor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parabacteroides::Bacteroides,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Enterorhabdus::Adlercreutzia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavobacterium,1,0,5,4,3,0,0,0,4,0,0,0,0,0,0,0
Clostridium::Desulfotomaculum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parasporobacterium,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coprococcus::Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fusobacterium,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
Ruminococcus::Escherichia,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Clostridium::Ruminococcus::Coprococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactonifactor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haemophilus,0,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0
Sporichthya,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
Cytophaga::Flavobacterium,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
Clostridium::Dorea,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
Ruminococcus::Blautia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Frigoribacterium,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Paenibacillus,0,2,0,2,1,0,0,8,0,1,0,0,0,0,2,0
Johnsonella,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pseudoflavonifractor::Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adlercreutzia::Enterorhabdus::Asaccharobacter,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Nocardiopsis,0,2,0,0,1,0,0,0,0,0,0,3,0,2,0,1
Pedobacter::Pseudomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flexibacter,0,0,0,2,0,0,0,7,2,0,0,0,0,0,0,1
Catabacter::Ruminococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butyricimonas::Bacteroides,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus,0,2,2,2,1,0,0,0,0,1,0,0,0,0,0,1
Alkalitalea::Prevotella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lachnospira::Anaerostipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavobacterium::Cytophaga,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gelidibacter,2,0,1,3,5,1,1,1,0,0,0,0,0,0,0,0
Treponema,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pontibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desulfuromonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butyricicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium::Butyrivibrio,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
Coprobacillus::Clostridium,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Porphyromonas::Prevotella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Effluviibacter,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Caminicella,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella::Bacteroides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudoalteromonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butyrivibrio::Blautia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Lachnospira::Clostridium,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,3
Alicyclobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lachnospira::Robinsoniella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subdoligranulum,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerofilum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sporosarcina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Alkalitalea::Sphingobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kopriimonas,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Olivibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lachnobacterium::Coprococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fluviicola,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Peptococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcus::Roseburia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Marinilabilia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catonella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingobium,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
Olsenella::Streptomyces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terasakiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roseospirillum,0,0,7,0,0,0,3,0,2,0,0,0,0,0,0,0
Clostridium::Ruminococcus::Blautia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Lachnospira::Roseburia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thalassospira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eubacterium::Clostridium,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Allobaculum::Eubacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blautia::Lachnospira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atopobium,0,0,0,0,0,0,0,0,0,1,0,1,10,0,5,1
Eubacterium::Lachnospira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides::Alistipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faecalibacterium,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0
Lachnospira::Coprococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Microbacterium,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zhangella::Stella,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Paludibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butyrivibrio::Ruminococcus,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Bacteroides::Lactobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella::Flavobacterium,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ruminococcus::Dorea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slackia::Asaccharobacter::Adlercreutzia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caldicellulosiruptor,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1
Kordia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides::Lactobacillus::Lachnospira,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaeroplasma,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Atopostipes,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
Enterococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insolitispirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium::Acetivibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plantactinospora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stappia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaplasma::Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Clostridium (Erysipelotrichaceae)::Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algoriphagus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dorea::Ruminococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Roseburia::Lachnospira,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerofustis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Echinicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerostipes::Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lachnospira::Blautia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Aestuariimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gelidibacter::Flavobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helicobacter::Flexispira,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Eubacterium (Erysipelotrichaceae)::Paenibacillus::Eubacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pelospora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Stella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rickettsia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Porphyromonas::Flavobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adlercreutzia::Enterorhabdus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcus::Escherichia::Parabacteroides,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Limibacter::Bacteroides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraprevotella::Prevotella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Janthinobacterium::Zoogloea::Duganella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavobacterium::Gelidibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnesiella::Bacteroides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porphyromonas::Gelidibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacilloplasma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natronincola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lumbricincola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desulfotomaculum::Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Roseburia::Ruminococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptacidiphilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butyrivibrio::Pseudobutyrivibrio,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Aeromicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sporobacterium::Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butyrivibrio::Roseburia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luteococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium::Blautia::Desulfotomaculum,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lachnospira::Ruminococcus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ornithinimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persicivirga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lachnospira::Ruminococcus::Escherichia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerophaga,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dysgonomonas::Flavobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizionia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
